y,x,street_count,highway,junction,geometry
19.0603472,72.8439698,3,,,POINT (72.8439698 19.0603472)
19.0605401,72.8489709,3,,,POINT (72.8489709 19.0605401)
19.0609222,72.8473023,3,,,POINT (72.8473023 19.0609222)
19.0605766,72.8477273,4,,,POINT (72.8477273 19.0605766)
19.0606482,72.8489898,3,,,POINT (72.8489898 19.0606482)
19.0611139,72.8434525,3,,,POINT (72.8434525 19.0611139)
19.0606543,72.8984205,3,,,POINT (72.8984205 19.0606543)
19.0610324,72.8444986,3,,,POINT (72.8444986 19.0610324)
19.0608965,72.8494502,3,,,POINT (72.8494502 19.0608965)
19.0613992,72.8430641,3,,,POINT (72.8430641 19.0613992)
19.0621606,72.8690073,3,,,POINT (72.8690073 19.0621606)
19.0612893,72.8462012,3,,,POINT (72.8462012 19.0612893)
19.0621157,72.8679652,4,,,POINT (72.8679652 19.0621157)
19.0615664,72.8477248,3,,,POINT (72.8477248 19.0615664)
19.0615506,72.8481822,3,,,POINT (72.8481822 19.0615506)
19.0615095,72.8494439,3,,,POINT (72.8494439 19.0615095)
19.0628669,72.8650215,4,,,POINT (72.8650215 19.0628669)
19.0613282,72.8531924,3,,,POINT (72.8531924 19.0613282)
19.06202,72.8834352,3,traffic_signals,,POINT (72.8834352 19.06202)
19.0617154,72.8439566,3,,,POINT (72.8439566 19.0617154)
19.0637075,72.8338243,3,,,POINT (72.8338243 19.0637075)
19.061796,72.852941,1,,,POINT (72.852941 19.061796)
19.0617575,72.8567379,4,,,POINT (72.8567379 19.0617575)
19.0622547,72.8481788,4,,,POINT (72.8481788 19.0622547)
19.0622843,72.8494689,4,,,POINT (72.8494689 19.0622843)
19.0622731,72.8576536,4,,,POINT (72.8576536 19.0622731)
19.0627538,72.8470312,1,,,POINT (72.8470312 19.0627538)
19.0627684,72.8477221,3,,,POINT (72.8477221 19.0627684)
19.0625602,72.8446785,3,,,POINT (72.8446785 19.0625602)
19.0607692,72.8643302,4,,,POINT (72.8643302 19.0607692)
19.0620441,72.8442386,3,,,POINT (72.8442386 19.0620441)
19.063953,72.8697265,3,,,POINT (72.8697265 19.063953)
19.0623877,72.8438022,3,,,POINT (72.8438022 19.0623877)
19.0630103,72.8494782,3,,,POINT (72.8494782 19.0630103)
19.0633111,72.8501368,3,,,POINT (72.8501368 19.0633111)
19.0629941,72.8477213,3,,,POINT (72.8477213 19.0629941)
19.0630022,72.8481736,4,,,POINT (72.8481736 19.0630022)
19.0641719,72.8634676,3,,,POINT (72.8634676 19.0641719)
19.0634946,72.8500354,3,,,POINT (72.8500354 19.0634946)
19.0650153,72.8593552,3,,,POINT (72.8593552 19.0650153)
19.0657295,72.8676733,3,,,POINT (72.8676733 19.0657295)
19.0632618,72.8477206,3,,,POINT (72.8477206 19.0632618)
19.0621479,72.8606545,3,,,POINT (72.8606545 19.0621479)
19.0630091,72.9149519,4,traffic_signals,,POINT (72.9149519 19.0630091)
19.0630217,72.8443515,4,,,POINT (72.8443515 19.0630217)
19.0643698,72.8494697,4,,,POINT (72.8494697 19.0643698)
19.0643812,72.8477179,3,,,POINT (72.8477179 19.0643812)
19.0649905,72.8501576,4,,,POINT (72.8501576 19.0649905)
19.0639302,72.8372025,4,,,POINT (72.8372025 19.0639302)
19.0654328,72.8509544,3,,,POINT (72.8509544 19.0654328)
19.0657801,72.8704711,3,,,POINT (72.8704711 19.0657801)
19.0653551,72.8494795,4,,,POINT (72.8494795 19.0653551)
19.0653464,72.8477155,3,,,POINT (72.8477155 19.0653464)
19.0657738,72.8495016,4,,,POINT (72.8495016 19.0657738)
19.0657389,72.8542388,3,,,POINT (72.8542388 19.0657389)
19.0659813,72.8594753,4,,,POINT (72.8594753 19.0659813)
19.0657717,72.8611509,3,,,POINT (72.8611509 19.0657717)
19.0660169,72.8477138,3,,,POINT (72.8477138 19.0660169)
19.0656783,72.8371828,4,,,POINT (72.8371828 19.0656783)
19.0662419,72.8435274,4,,,POINT (72.8435274 19.0662419)
19.06655,72.8503154,4,,,POINT (72.8503154 19.06655)
19.0662824,72.857163,4,,,POINT (72.857163 19.0662824)
19.066873,72.8509957,3,,,POINT (72.8509957 19.066873)
19.0671608,72.8653978,4,traffic_signals,,POINT (72.8653978 19.0671608)
19.0687319,72.8422549,3,,,POINT (72.8422549 19.0687319)
19.0677349,72.8372101,4,traffic_signals,,POINT (72.8372101 19.0677349)
19.068431,72.8492316,4,,,POINT (72.8492316 19.068431)
19.0688621,72.8500856,3,,,POINT (72.8500856 19.0688621)
19.0692361,72.8488318,1,,,POINT (72.8488318 19.0692361)
19.0701799,72.8346929,4,,,POINT (72.8346929 19.0701799)
19.0700117,72.8363309,4,,,POINT (72.8363309 19.0700117)
19.0702193,72.8263808,4,,yes,POINT (72.8263808 19.0702193)
19.0707597,72.8724298,3,,,POINT (72.8724298 19.0707597)
19.0707703,72.8463912,3,,,POINT (72.8463912 19.0707703)
19.071848,72.8647437,3,,,POINT (72.8647437 19.071848)
19.0703514,72.8329832,4,,,POINT (72.8329832 19.0703514)
19.0707593,72.8320428,4,,,POINT (72.8320428 19.0707593)
19.0727748,72.8666569,4,,,POINT (72.8666569 19.0727748)
19.0708418,72.8263649,3,,,POINT (72.8263649 19.0708418)
19.071175,72.8312489,4,,,POINT (72.8312489 19.071175)
19.0715276,72.830271,4,,,POINT (72.830271 19.0715276)
19.0745228,72.870865,5,traffic_signals,,POINT (72.870865 19.0745228)
19.07137,72.8373301,4,traffic_signals,,POINT (72.8373301 19.07137)
19.0717695,72.8295127,3,,,POINT (72.8295127 19.0717695)
19.0729645,72.8639257,3,,,POINT (72.8639257 19.0729645)
19.0719381,72.8357078,3,,,POINT (72.8357078 19.0719381)
19.0714303,72.8365452,4,,,POINT (72.8365452 19.0714303)
19.0718862,72.8291329,3,,,POINT (72.8291329 19.0718862)
19.0716048,72.8348744,4,,,POINT (72.8348744 19.0716048)
19.0728738,72.8608601,3,,,POINT (72.8608601 19.0728738)
19.0705676,72.8223533,3,,yes,POINT (72.8223533 19.0705676)
